bgg_id,name,year,type
17826,Alpha Nature,,boardgame
11464,Alquerque,,boardgame
234487,Altiplano,2017,boardgame
1608,Ambush!,,boardgame
639,American Megafauna,,boardgame
137408,Amerigo,2013,boardgame
982,Amoeba Wars,1981,boardgame
5404,Amun-Re,2003,boardgame
31887,AmuseAmaze,,boardgame
14038,Anachronism,,boardgame
,Anachrony,2017,boardgame
3359,Anagrams,,boardgame
24224,Anasazi,2006,boardgame
229240,Ancestree,2017,boardgame
245704,Anchors Aweigh!,2018,boardgame
338093,Ancient Knowledge,2023,boardgame
1782,Ancients,,boardgame
,Andada,,boardgame
11893,Andantino,,boardgame
91080,Andean Abyss,,boardgame
295488,Andor: The Family Fantasy Game,2020,boardgame
39339,Android,,boardgame
124742,Android: Netrunner,,boardgame
,Andromeda's Edge,2024,boardgame
4688,Angola,,boardgame
89962,Angry Birds: Knock on Wood,,boardgame
17329,Animal Upon Animal,,boardgame
84464,Animal Upon Animal: Balancing Bridge,,boardgame
212388,Animouv,,boardgame
,Annihilator & One World,,boardgame
8166,Anno 1503,,boardgame
31897,Anno 1701,,boardgame
2837,Ant Wars,,boardgame
1931,Anti-Monopoly,,boardgame
19600,Antike,2005,boardgame
104955,Antike Duellum,2012,boardgame
30483,Antler Island,2007,boardgame
446699,Ants,,boardgame
8487,Ants in the Pants,,boardgame
,Anywoli,,boardgame
4173,Anzio,,boardgame
,Anzio Beachhead,,boardgame
,Apiary,2023,boardgame
2574,Apocalypse,,boardgame
74,Apples to Apples,,boardgame
20080,Aqua Romana,2005,boardgame
295948,Aqualin,2020,boardgame
34194,Aquaretto,,boardgame
814,Aquarius,,boardgame
208707,Aquatika,,boardgame
3218,Arab-Israeli Wars,,boardgame
405012,Arbolito,2024,boardgame
371077,Arborea,2023,boardgame
17006,Arcanor,,boardgame
105551,Archipelago,2012,boardgame
236457,Architects of the West Kingdom,2018,boardgame
,Archworld,,boardgame
359871,Arcs,2024,boardgame
41541,Are You the Traitor?,,boardgame
3533,Arena of Death,,boardgame
56931,Arena: Roma II,,boardgame
144797,Argent: The Consortium,2015,boardgame
342942,Ark Nova,2021,boardgame
25643,Arkadia,2006,boardgame
77548,Arkham Express,,boardgame
34,Arkham Horror (1st Edition),1987,boardgame
15987,Arkham Horror (2nd Edition),2005,boardgame
257499,Arkham Horror (3rd Edition),2018,boardgame
,Arkham Horror: The Card Game,2016,boardgame
3484,Armada,1986,boardgame
17522,Armageddon,,boardgame
4176,Armies of Arcana,,boardgame
,Arnhem,,boardgame
395375,Art Society,2023,boardgame
6541,Articulate!,,boardgame
4271,Artifact,1980,boardgame
92643,Artus,,boardgame
219650,Arydia: The Paths We Dare Tread,2024,boardgame
72991,Asara,2010,boardgame
37919,Ascending Empires,,boardgame
69789,Ascension: Deckbuilding Game,,boardgame
11780,ASG Baseball,,boardgame
,Ashta Chamma,,boardgame
13776,Ashtapada,,boardgame
20609,Asia Engulfed,,boardgame
14832,Assault Across the Suez,,boardgame
3548,Assault on Hoth: The Empire Strikes Back,1988,boardgame
,Astar,,boardgame
1772,Asteroid,1980,boardgame
2746,Asteroid Pirates,,boardgame
65200,Asteroyds,,boardgame
25772,Astoria,,boardgame
1865,Astrotime,1990,boardgame
61798,Astérix et la Potion magique,,boardgame
39683,At the Gates of Loyang,2009,boardgame
8872,Atlanta,,boardgame
5485,Atlantic Wall,1978,boardgame
10682,Atlas & Zeus,,boardgame
19999,Aton,,boardgame
,Attack Force,,boardgame
2706,Attack of the Mutants!,1981,boardgame
6752,Attack!,,boardgame
24025,Attacktix Battle Figure Game Marvel Superheroes,,boardgame
17274,Attacktix Battle Figure Game: Star Wars,2005,boardgame
24525,Attangle,,boardgame
8051,Attika,,boardgame
827,Attila,2000,boardgame
110,Auf Achse,,boardgame
,Auf den Spuren von Marco Polo,2015,boardgame
130223,Auf die Nüsse!,,boardgame
369560,Aurignac,2012,boardgame
772,Ausbrecher AG,,boardgame
5052,Austerlitz,1972,boardgame
15033,Australia,2005,boardgame
,Australian Rails,,boardgame
39351,Automobile,2009,boardgame
9092,Avalam,,boardgame
446,Avalanche,,boardgame
22469,Avatar: The Last Airbender Trading Card Game,,boardgame
494,Ave Caesar,,boardgame
,Aw-li On-nam Ot-tjin,,boardgame
34481,Awithlaknakwe,,boardgame
,Awithlaknannai Mosona,,boardgame
820,Axiom,1988,boardgame
98,Axis & Allies,1981,boardgame
35052,Axis & Allies Anniversary Edition,,boardgame
22457,Axis & Allies: Battle of the Bulge,2006,boardgame
10081,Axis & Allies: D-Day,,boardgame
520,Axis & Allies: Europe,,boardgame
29259,Axis & Allies: Guadalcanal,,boardgame
1262,Axis & Allies: Pacific,,boardgame
18723,"Aye, Dark Overlord!",,boardgame
,Ayoayo,,boardgame
1071,Aztec,1995,boardgame
,Azul,2017,boardgame
1032,"B-17, Queen of the Skies",,boardgame
,Ba-awa,,boardgame
986,Babel,2000,boardgame
13455,Babylon 5: A Call to Arms,,boardgame
2397,backgammon,,boardgame
,Bad Bitches Only,2019,boardgame
123386,Baden-Württemberg Catan,,boardgame
123417,bagatelle,,boardgame
,Bagh bandi,,boardgame
315,bagh-chal,,boardgame
55127,Bailout! The Game,,boardgame
4150,Bakari,,boardgame
,Bakio,,boardgame
1504,Bakschisch,1995,boardgame
,Balance of Power,,boardgame
410273,Balconia,2024,boardgame
163,Balderdash,,boardgame
5716,Balloon Cup,,boardgame
18104,Banana Express,,boardgame
30933,BANG! The Bullet!,2007,boardgame
29741,Banqi,,boardgame
14186,Bao,,boardgame
,Bar-Lev,,boardgame
3251,Barbarian Kings,,boardgame
1631,Barbarian Prince,,boardgame
550,Barbarossa,1988,boardgame
5541,Barbarossa: The Russo-German War 1941-45,1969,boardgame
9633,Barbie Queen of the Prom,,boardgame
,Barcelona,2023,boardgame
22085,Baron,,boardgame
86128,Barons,,boardgame
251247,Barrage,,boardgame
157779,Barragoon,,boardgame
36550,Bashni,,boardgame
4537,Baston,1985,boardgame
3486,Bataclan,,boardgame
,Bataille de la Marne 1914,,boardgame
3706,Batik,,boardgame
,Battle Cattle,,boardgame
2458,Battle Cattle: The Card Game,,boardgame
551,Battle Cry,1999,boardgame
,Battle Damage: Code Red,,boardgame
6112,Battle Dome,,boardgame
3177,Battle for Armageddon,,boardgame
3986,Battle for Germany,,boardgame
,"Battle for Midway: Decision in the Pacific, 1942",,boardgame
6544,Battle for Moscow,,boardgame
234477,Battle for Rokugan,2017,boardgame
700,Battle Masters,1992,boardgame
16444,Battle of the Bulge,1965,boardgame
4278,Battle Over Britain,1983,boardgame
10966,Battle Rider,,boardgame
54137,Battle Sheep,,boardgame
14757,Battle-Sphere,,boardgame
2368,Battlecars,,boardgame
89409,BattleCON: War of Indines,,boardgame
,BattleDroids,,boardgame
3616,BattleForce,,boardgame
18985,Battleground,,boardgame
30328,Battleground: Crossbows & Catapults,,boardgame
17480,Battlelords,,boardgame
25417,BattleLore,2006,boardgame
93360,Battles for a Continent,,boardgame
7092,Battles for the Ardennes,,boardgame
18034,Battles of the Third Age,,boardgame
67492,Battles of Westeros,2010,boardgame
2425,Battleship,,boardgame
